ApName,Super Build／SS7,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,
工事名,佐川急便株式会社九州航空営業所新築工事,,,,,,,,,,,,,,
略称,倉庫棟,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,
出力日時,2020/9/1 17:02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,
,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,
<data>,,,,,,,,,,,,,,,
Fc24(普通),24,8,,0.73,16,,1.1,1.2,1.5,<RE>,,,,,
SD295A(D13),295,195,195,195,295,295,295,,,<RE>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,-5.4,0,0,-0.00002,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-69,0,0,0,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-61.3,0,0,-0.00001,0.00005,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-27.1,0,0,-0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-74.5,0,0,0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-58.2,0,0,-0.00001,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-30,0,0,-0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-83.7,0,0,0.00002,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-76.3,0,0,-0.00001,0.00006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-37.5,0,0,0,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-83.9,0,0,0.00002,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-68.1,0,0,0,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-35.7,0,0,0,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-25.3,0,0,0,0.0001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-59.2,0,0,0,0.0001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-50.6,0,0,0,0.0001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-47.8,0,0,0,0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-63.6,0,0,-0.00001,0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-81.4,0,0,0.00002,0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-51.6,0,0,0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-84.9,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-70.8,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-65.7,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-78.6,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-99.6,0,0,0,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-87,0,0,0.00001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-64.8,0,0,0,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-32.7,0,0,0,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-34,0,0,0.00001,0.00013,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-55.1,0,0,0,0.00015,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-47.1,0,0,0,0.00012,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-43.6,0,0,0,0.00012,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-52.6,0,0,0,0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-62.2,0,0,0,0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-46.5,0,0,0.00001,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-28.7,0,0,0,0.0001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,-20.3,0,0,0,0.00006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=EX+,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-83.2,0,0,-0.00047,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-14.3,0,0,-0.00006,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,103.4,0,0,-0.00041,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-85.8,0,0,-0.00048,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-18.5,0,0,-0.00007,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,101.8,0,0,-0.00042,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-86.5,0,0,-0.00049,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-16.3,0,0,-0.00007,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,103.3,0,0,-0.00042,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-88.6,0,0,-0.00049,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-18.4,0,0,-0.00007,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,105.3,0,0,-0.00043,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-91.2,0,0,-0.00054,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-9,0,0,-0.00006,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,105.8,0,0,-0.00044,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-58.5,0,0,-0.00074,-0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-1.5,0,0,-0.00021,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-4.3,0,0,-0.00024,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-5,0,0,-0.0002,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-5.9,0,0,-0.00029,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,52,0,0,-0.0005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-66.8,0,0,-0.00056,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,33.4,0,0,-0.00078,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-52.5,0,0,-0.0005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,51.7,0,0,-0.00051,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-35.4,0,0,-0.00075,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,34.7,0,0,-0.0008,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-42.3,0,0,-0.00069,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-26.3,0,0,-0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,110.8,0,0,-0.00048,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-48.4,0,0,-0.00075,-0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,6.7,0,0,-0.00022,-0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,2.2,0,0,-0.00025,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-4.7,0,0,-0.0002,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,12.6,0,0,-0.00031,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,0.8,0,0,-0.0004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-22.2,0,0,-0.00031,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-45.2,0,0,-0.0001,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,105.8,0,0,-0.00044,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=EX-,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,83.2,0,0,0.00047,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,14.3,0,0,0.00006,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,-103.4,0,0,0.00041,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,85.8,0,0,0.00048,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,18.5,0,0,0.00007,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-101.8,0,0,0.00042,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,86.5,0,0,0.00049,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,16.3,0,0,0.00007,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-103.3,0,0,0.00042,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,88.6,0,0,0.00049,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,18.4,0,0,0.00007,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-105.3,0,0,0.00043,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,91.2,0,0,0.00054,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,9,0,0,0.00006,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-105.8,0,0,0.00044,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,58.5,0,0,0.00074,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,1.5,0,0,0.00021,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,4.3,0,0,0.00024,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,5,0,0,0.0002,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,5.9,0,0,0.00029,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-52,0,0,0.0005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,66.8,0,0,0.00056,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-33.4,0,0,0.00078,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,52.5,0,0,0.0005,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-51.7,0,0,0.00051,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,35.4,0,0,0.00075,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-34.7,0,0,0.0008,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,42.3,0,0,0.00069,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,26.3,0,0,0.00001,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-110.8,0,0,0.00048,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,48.4,0,0,0.00075,0.00004,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-6.7,0,0,0.00022,0.00003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-2.2,0,0,0.00025,0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,4.7,0,0,0.0002,0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-12.6,0,0,0.00031,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-0.8,0,0,0.0004,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,22.2,0,0,0.00031,0,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,45.2,0,0,0.0001,-0.00001,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,-105.8,0,0,0.00044,-0.00002,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=EY+,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,-60.7,0,0,0.00002,-0.00059,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,-85.9,0,0,0,-0.00045,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,-70.2,0,0,0.00002,-0.00058,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,21.4,0,0,0.00002,-0.00015,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,54.3,0,0,0,-0.00061,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,12.9,0,0,0.00001,-0.00015,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,12.5,0,0,0.00001,-0.0003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,-31.4,0,0,0,-0.0007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,6,0,0,0.00001,-0.00029,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,1.5,0,0,0,-0.00032,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,34.5,0,0,0,-0.00073,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,-0.6,0,0,0,-0.00033,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,-18.2,0,0,0,-0.00041,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,-22.9,0,0,0,-0.00091,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,-0.8,0,0,0,-0.00034,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,-105.6,0,0,0,-0.00063,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,-89.9,0,0,0,-0.00057,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,-91.2,0,0,0,-0.00054,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,-90,0,0,0,-0.00053,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,-95.2,0,0,0,-0.00057,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,-100.9,0,0,-0.00002,-0.00059,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,24.4,0,0,0,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,8.7,0,0,-0.00001,-0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,22,0,0,0,-0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,23.3,0,0,0,-0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,23.5,0,0,-0.00001,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,34.3,0,0,-0.00001,-0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,-23.3,0,0,-0.00001,-0.00023,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,-18.4,0,0,0,-0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,-31,0,0,0,-0.00018,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,78.7,0,0,-0.00001,-0.00076,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,81.9,0,0,0,-0.00075,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,68.4,0,0,0,-0.00065,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,67.5,0,0,0,-0.00065,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,71,0,0,0,-0.00069,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,67.9,0,0,-0.00001,-0.00068,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,78.3,0,0,0,-0.00064,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,70.5,0,0,0,-0.00066,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,73,0,0,-0.00001,-0.0006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎反力表,case=EY-,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,上部,60.7,0,0,-0.00002,0.00059,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,A,上部,85.9,0,0,0,0.00045,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,A,上部,70.2,0,0,-0.00002,0.00058,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,B,上部,-21.4,0,0,-0.00002,0.00015,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,B,上部,-54.3,0,0,0,0.00061,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,B,上部,-12.9,0,0,-0.00001,0.00015,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,C,上部,-12.5,0,0,-0.00001,0.0003,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,C,上部,31.4,0,0,0,0.0007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,C,上部,-6,0,0,-0.00001,0.00029,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,D,上部,-1.5,0,0,0,0.00032,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,D,上部,-34.5,0,0,0,0.00073,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,D,上部,0.6,0,0,0,0.00033,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,E,上部,18.2,0,0,0,0.00041,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,E,上部,22.9,0,0,0,0.00091,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,E,上部,0.8,0,0,0,0.00034,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,F,上部,105.6,0,0,0,0.00063,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,F,上部,89.9,0,0,0,0.00057,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,F,上部,91.2,0,0,0,0.00054,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,F,上部,90,0,0,0,0.00053,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,F,上部,95.2,0,0,0,0.00057,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,F,上部,100.9,0,0,0.00002,0.00059,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,G,上部,-24.4,0,0,0,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,G,上部,-8.7,0,0,0.00001,0.00009,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,G,上部,-22,0,0,0,0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,G,上部,-23.3,0,0,0,0.00011,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,G,上部,-23.5,0,0,0.00001,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,G,上部,-34.3,0,0,0.00001,0.00008,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,G,上部,23.3,0,0,0.00001,0.00023,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,G,上部,18.4,0,0,0,0.00007,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,G,上部,31,0,0,0,0.00018,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,1,H,上部,-78.7,0,0,0.00001,0.00076,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,2,H,上部,-81.9,0,0,0,0.00075,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,3,H,上部,-68.4,0,0,0,0.00065,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,4,H,上部,-67.5,0,0,0,0.00065,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,5,H,上部,-71,0,0,0,0.00069,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,6,H,上部,-67.9,0,0,0.00001,0.00068,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,7,H,上部,-78.3,0,0,0,0.00064,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,8,H,上部,-70.5,0,0,0,0.00066,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
1SL,9,H,上部,-73,0,0,0.00001,0.0006,,,,,,,
,,,偏心,0,0,0,0,0,<RE>,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L,,,,,,,,,,,,,,
層,X軸,Y軸,符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,
,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,
<data>,,,,,,,,,,,,,,,
1SL,7,A,F3,x,0,2.4,0,,,1000,,,2.4,考慮しない,
,,,,y,0,-26.4,0,,,,,,-26.4,,<RE>
1SL,8,A,F3,x,0,0.5,0,,,1000,,,0.5,考慮しない,
,,,,y,0,-38.8,0,,,,,,-38.8,,<RE>
1SL,9,A,F2,x,0,5,0,,,1000,,,5,考慮しない,
,,,,y,0,-24.1,0,,,,,,-24.1,,<RE>
1SL,7,B,F4,x,0,5.7,0,,,1000,,,5.7,考慮しない,
